2013-02-26,795.00,795.95,784.40,790.13,2202500,790.13
2013-02-25,802.30,808.41,790.49,790.77,2303900,790.77
2013-02-22,799.26,801.25,793.80,799.71,2053900,799.71
2013-02-21,798.00,805.45,791.22,795.53,3506400,795.53
2013-02-20,805.30,808.97,791.79,792.46,2764200,792.46
2013-02-19,795.99,807.00,795.28,806.85,2931800,806.85
2013-02-15,787.40,793.26,787.07,792.89,2729800,792.89
2013-02-14,779.73,788.74,777.77,787.82,1735300,787.82
2013-02-13,780.13,785.35,779.97,782.86,1198200,782.86
2013-02-12,781.75,787.90,779.37,780.70,1859000,780.70
2013-02-11,778.40,783.00,773.75,782.42,2167700,782.42
2013-02-08,780.13,786.67,779.56,785.37,3020100,785.37
2013-02-07,769.70,778.81,765.50,773.95,2840200,773.95
2013-02-06,759.07,772.96,758.50,770.17,2078100,770.17
2013-02-05,761.13,771.11,759.47,765.74,1870700,765.74
2013-02-04,767.69,770.47,758.27,759.02,3040500,759.02
2013-02-01,758.20,776.60,758.10,775.60,3746100,775.60
2013-01-31,750.51,757.62,750.25,755.69,1634200,755.69
2013-01-30,753.74,760.95,752.91,753.83,1733000,753.83
2013-01-29,746.75,756.95,746.54,753.68,1747100,753.68
2013-01-28,751.76,755.60,747.89,750.73,1627100,750.73
2013-01-25,750.77,758.48,750.25,753.67,2225900,753.67
2013-01-24,741.24,756.83,740.51,754.21,3382700,754.21
2013-01-23,735.99,749.00,735.79,741.50,5909100,741.50
2013-01-22,704.66,705.34,695.52,702.87,3792400,702.87
2013-01-18,710.36,712.77,701.33,704.51,3226800,704.51
2013-01-17,717.71,719.64,711.02,711.32,2211500,711.32
2013-01-16,722.40,724.34,713.67,715.19,2023400,715.19
2013-01-15,719.33,735.00,712.10,724.93,3927700,724.93
2013-01-14,737.00,742.20,722.35,723.25,2863900,723.25
2013-01-11,742.00,742.43,736.30,739.99,1285200,739.99
2013-01-10,742.83,745.00,733.50,741.48,1835700,741.48
2013-01-09,732.27,738.35,728.60,738.12,2024700,738.12
2013-01-08,735.54,736.30,724.43,733.30,1676100,733.30
2013-01-07,735.45,739.38,730.58,734.75,1655700,734.75
2013-01-04,729.34,741.47,727.68,737.97,2763500,737.97
2013-01-03,724.93,731.93,720.72,723.67,2318200,723.67
2013-01-02,719.42,727.00,716.55,723.25,2541300,723.25
2012-12-31,700.00,710.57,696.00,707.38,1997400,707.38
2012-12-28,701.69,706.91,700.01,700.01,1402000,700.01
2012-12-27,707.14,708.84,698.61,706.29,1647400,706.29
2012-12-26,708.07,712.88,702.41,708.87,1182400,708.87
2012-12-24,714.51,715.18,707.47,709.50,840900,709.50
2012-12-21,713.97,718.82,710.52,715.63,3526000,715.63
2012-12-20,723.26,724.65,716.97,722.36,1657000,722.36
2012-12-19,720.71,723.00,716.68,720.11,1918600,720.11
2012-12-18,716.60,729.10,715.05,721.07,3004900,721.07
2012-12-17,705.50,721.92,704.02,720.78,3035400,720.78
2012-12-14,699.17,707.82,698.43,701.96,2130100,701.96
2012-12-13,715.92,716.47,699.55,702.70,3444900,702.70
2012-12-12,699.23,703.51,693.48,697.56,2426000,697.56
2012-12-11,690.00,701.92,687.72,696.88,2687600,696.88
2012-12-10,685.39,691.65,683.79,685.42,1366700,685.42
2012-12-07,695.00,696.88,682.42,684.21,1919300,684.21
2012-12-06,687.59,695.61,684.51,691.13,1462300,691.13
2012-12-05,692.15,694.50,682.33,687.82,1862400,687.82
2012-12-04,695.00,695.51,685.70,691.03,1991700,691.03
2012-12-03,702.24,705.89,694.11,695.25,2192500,695.25
2012-11-30,691.31,699.22,685.69,698.37,3163600,698.37
2012-11-29,687.78,693.90,682.00,691.89,2776500,691.89
2012-11-28,668.01,684.91,663.89,683.67,3042000,683.67
2012-11-27,660.17,675.00,658.00,670.71,2508700,670.71
2012-11-26,666.44,667.00,659.02,661.15,2204600,661.15
2012-11-23,669.97,670.00,666.10,667.97,922500,667.97
2012-11-21,668.99,669.80,660.40,665.87,2112200,665.87
2012-11-20,669.51,678.00,664.57,669.97,2088700,669.97
2012-11-19,655.70,668.92,655.53,668.21,2368200,668.21
2012-11-16,645.99,653.02,636.00,647.18,3438200,647.18
2012-11-15,650.00,660.00,643.90,647.26,1848900,647.26
2012-11-14,660.66,662.18,650.50,652.55,1668400,652.55
2012-11-13,663.00,667.60,658.23,659.05,1594200,659.05
2012-11-12,663.75,669.80,660.87,665.90,1405900,665.90
2012-11-09,654.65,668.34,650.30,663.03,3114100,663.03
2012-11-08,670.20,671.49,651.23,652.29,2597000,652.29
2012-11-07,675.00,678.23,666.49,667.12,2232300,667.12
2012-11-06,685.48,686.50,677.55,681.72,1582800,681.72
2012-11-05,684.50,686.86,675.56,682.96,1635900,682.96
2012-11-02,694.79,695.55,687.37,687.92,2324400,687.92
2012-11-01,679.50,690.90,678.72,687.59,2050100,687.59
2012-10-31,679.86,681.00,675.00,680.30,1537000,680.30
